corona_test,cough_filename
negative,01OCEf1yB4czsq8ygRoT51s96Ba2_heavy_1.wav
negative,01OCEf1yB4czsq8ygRoT51s96Ba2_heavy_2.wav
negative,01OCEf1yB4czsq8ygRoT51s96Ba2_shallow_1.wav
negative,01OCEf1yB4czsq8ygRoT51s96Ba2_shallow_3.wav
negative,0c00ybTdnIRUTXeg20bZjJOzhKv1_heavy_1.wav
negative,0c00ybTdnIRUTXeg20bZjJOzhKv1_shallow_1.wav
negative,0RHdUsu2qFMmG4dhpJd1NqM5ZTC2_heavy_1.wav
negative,0RHdUsu2qFMmG4dhpJd1NqM5ZTC2_heavy_2.wav
negative,0zAgZhOXaGhmL1SnhkzJOIoowKg2_heavy_2.wav
negative,0zAgZhOXaGhmL1SnhkzJOIoowKg2_shallow_1.wav
negative,0zAgZhOXaGhmL1SnhkzJOIoowKg2_shallow_3.wav
negative,0zUxdfS5aoS6SiEoF1x6JXOk25B3_heavy_1.wav
negative,0zUxdfS5aoS6SiEoF1x6JXOk25B3_heavy_2.wav
negative,0zUxdfS5aoS6SiEoF1x6JXOk25B3_heavy_3.wav
negative,2suYua5dbdh2cSreNFm8flktMEc2_heavy_1.wav
negative,2suYua5dbdh2cSreNFm8flktMEc2_heavy_3.wav
negative,2suYua5dbdh2cSreNFm8flktMEc2_shallow_1.wav
negative,2suYua5dbdh2cSreNFm8flktMEc2_shallow_3.wav
negative,2zDWjtjSxeUuy2or5XThZNSzvwO2_heavy_1.wav
negative,2zDWjtjSxeUuy2or5XThZNSzvwO2_heavy_2.wav
negative,3kUDnCX53IYe2LGsEDHwuXE8bWP2_heavy_1.wav
negative,3kUDnCX53IYe2LGsEDHwuXE8bWP2_heavy_3.wav
negative,3kUDnCX53IYe2LGsEDHwuXE8bWP2_shallow_1.wav
negative,3Vqysidm4ihlWFBQPErMAClnMbu2_heavy_3.wav
negative,3Vqysidm4ihlWFBQPErMAClnMbu2_shallow_2.wav
negative,4drDZUlQcteX5StlFT2CXEL0N0L2_shallow_3.wav
negative,59dIvwH1JDU9pHbH1rc3FoVlJWl1_heavy_3.wav
negative,59dIvwH1JDU9pHbH1rc3FoVlJWl1_heavy_5.wav
negative,59dIvwH1JDU9pHbH1rc3FoVlJWl1_shallow_1.wav
negative,59dIvwH1JDU9pHbH1rc3FoVlJWl1_shallow_3.wav
negative,59dIvwH1JDU9pHbH1rc3FoVlJWl1_shallow_9.wav
negative,5DKkP9ZkD0MvFcWNlDlAF5cBuFh1_heavy_2.wav
negative,5DKkP9ZkD0MvFcWNlDlAF5cBuFh1_heavy_3.wav
negative,5DKkP9ZkD0MvFcWNlDlAF5cBuFh1_heavy_4.wav
negative,5Gn8GDorBDaV9s4JhzMpppc3I3j1_heavy_2.wav
negative,5w8ZIMTjkXOMI78Q3sccWcvMKiI2_heavy_1.wav
negative,5w8ZIMTjkXOMI78Q3sccWcvMKiI2_shallow_1.wav
negative,5w8ZIMTjkXOMI78Q3sccWcvMKiI2_shallow_2.wav
negative,6mCAHbyEebbEDkxHxOqihoJRkX83_heavy_2.wav
negative,6mCAHbyEebbEDkxHxOqihoJRkX83_shallow_2.wav
negative,6pXKrZlDycStXTNMBjGXtxxYfvc2_heavy_1.wav
negative,6pXKrZlDycStXTNMBjGXtxxYfvc2_shallow_6.wav
negative,6WVdsp5LDLRRfYrfiR4BU2G6wve2_heavy_2.wav
negative,6WVdsp5LDLRRfYrfiR4BU2G6wve2_heavy_3.wav
negative,7arBtLdzGeW8oCN0DXhI6dqqUdP2_heavy_1.wav
negative,7DfMFXPDu3W2Fxjs8w0OsLIY8em1_shallow_2.wav
negative,7PIIt8R3JWVfSFURfFyRR5ufM243_heavy_2.wav
negative,7PIIt8R3JWVfSFURfFyRR5ufM243_heavy_4.wav
negative,7PIIt8R3JWVfSFURfFyRR5ufM243_heavy_6.wav
negative,7PIIt8R3JWVfSFURfFyRR5ufM243_shallow_4.wav
negative,8nVQh7sxmWTMdHOSFZRgCSbwFCl2_heavy_1.wav
negative,9JhZlp6ebpZYjnKlK2NTZTihDme2_shallow_1.wav
negative,9TA7dm7qVygA0rTNGmNJOlofvtP2_heavy_1.wav
negative,9TA7dm7qVygA0rTNGmNJOlofvtP2_heavy_3.wav
negative,9TA7dm7qVygA0rTNGmNJOlofvtP2_shallow_3.wav
negative,AbtlW73g2HUScOPZZQYMD7jRlkX2_heavy_1.wav
negative,AbtlW73g2HUScOPZZQYMD7jRlkX2_heavy_2.wav
negative,Afi7SdxjNOetySybYTZ7RPxwFiW2_heavy_1.wav
negative,aJDwaJhhehbgKgHpYaP0sng5rcn2_heavy_2.wav
negative,aJDwaJhhehbgKgHpYaP0sng5rcn2_shallow_1.wav
negative,aJDwaJhhehbgKgHpYaP0sng5rcn2_shallow_2.wav
negative,aLeBZp6qmVVooQsTvP1ptnQk9IS2_heavy_4.wav
negative,aLeBZp6qmVVooQsTvP1ptnQk9IS2_shallow_1.wav
negative,aLeBZp6qmVVooQsTvP1ptnQk9IS2_shallow_2.wav
negative,aU8pLZV1OUQJV0GKeeIlgWhYWeA2_heavy_3.wav
negative,awro2Lz4F9SgVweiUzROf1IE8GK2_heavy_1.wav
negative,B0biFhyqjzNmtEjWHSH9lQYBB2c2_heavy_1.wav
negative,B0biFhyqjzNmtEjWHSH9lQYBB2c2_heavy_2.wav
negative,B0biFhyqjzNmtEjWHSH9lQYBB2c2_shallow_1.wav
negative,B4zHaFYEkYfCKyKRsjNjme1hwjk2_heavy_1.wav
negative,bjLKJTRQudYoV82mLEiCmc2lyXz1_heavy_1.wav
negative,bjLKJTRQudYoV82mLEiCmc2lyXz1_heavy_2.wav
negative,bjLKJTRQudYoV82mLEiCmc2lyXz1_shallow_1.wav
negative,BNraT7TUj1ZHWnxzh3eVOM2CwIm1_heavy_2.wav
negative,BNraT7TUj1ZHWnxzh3eVOM2CwIm1_shallow_3.wav
negative,BoCrMaxD7DVdo0nXNl14zk8ycR52_shallow_1.wav
negative,bTiu7RJ0JkPVSja5Sr5YSHBulQ43_shallow_1.wav
negative,C7Q6zEVYAZR7yC0DeDQVIYqfWCi2_shallow_2.wav
negative,c8fyZREWSdfus5ISad0LwnMAUcQ2_heavy_1.wav
negative,c8fyZREWSdfus5ISad0LwnMAUcQ2_shallow_2.wav
negative,CdU4pgCdFcZxtDHTpLUn1mO9J3o2_heavy_2.wav
negative,CdU4pgCdFcZxtDHTpLUn1mO9J3o2_heavy_5.wav
negative,CdU4pgCdFcZxtDHTpLUn1mO9J3o2_heavy_6.wav
negative,CGGk5Y7thvXSCYhDX0e4yPN7g5R2_heavy_3.wav
negative,CGGk5Y7thvXSCYhDX0e4yPN7g5R2_shallow_2.wav
negative,CkDhDGNX3iWEqDFJZXn9FrxPxYF3_heavy_2.wav
negative,CkDhDGNX3iWEqDFJZXn9FrxPxYF3_shallow_1.wav
negative,cpkq5jRCUDOvtB7vROcz6LuOAzr2_shallow_1.wav
negative,cSBabP68WbPG0xQs8NnlgtVw5R42_shallow_1.wav
negative,cSBabP68WbPG0xQs8NnlgtVw5R42_shallow_3.wav
negative,dKlVA3KkdDMiaYmW6KGRlFflMh23_heavy_1.wav
negative,dKlVA3KkdDMiaYmW6KGRlFflMh23_heavy_3.wav
negative,dKlVA3KkdDMiaYmW6KGRlFflMh23_shallow_2.wav
negative,dKlVA3KkdDMiaYmW6KGRlFflMh23_shallow_3.wav
negative,DmKc9V8ZeqQBMqOaGMDZ3mvRIY13_heavy_1.wav
negative,DmKc9V8ZeqQBMqOaGMDZ3mvRIY13_heavy_3.wav
negative,DmKc9V8ZeqQBMqOaGMDZ3mvRIY13_shallow_2.wav
negative,dmZsPx4whFbTWD54PHQifpUZ60i2_shallow_2.wav
negative,dtV4ZlnWakRFGKpIfiUqdu3q6iq1_heavy_3.wav
negative,dtV4ZlnWakRFGKpIfiUqdu3q6iq1_shallow_2.wav
negative,dtV4ZlnWakRFGKpIfiUqdu3q6iq1_shallow_3.wav
negative,dWeafY7aXUadwWiTVJinx7sftGl2_heavy_1.wav
negative,dWeafY7aXUadwWiTVJinx7sftGl2_heavy_2.wav
negative,dWeafY7aXUadwWiTVJinx7sftGl2_heavy_3.wav
negative,f4wYeTyCImQ0BQiwBOlScS9C2H03_heavy_1.wav
negative,f4wYeTyCImQ0BQiwBOlScS9C2H03_heavy_2.wav
negative,FIgw7gymskPu3RGgk3Q6GeSH7yB3_heavy_4.wav
negative,FIgw7gymskPu3RGgk3Q6GeSH7yB3_heavy_5.wav
negative,Fuj8ConlkeNoRot2tyMMyzYCKfo2_heavy_2.wav
negative,Fuj8ConlkeNoRot2tyMMyzYCKfo2_shallow_1.wav
negative,g2CeKxcydaSeP7WB3qIWjB8ZW8o1_shallow_2.wav
negative,G8f3XmmcaXb2ZZ2ov4Z5r2vOLaK2_heavy_2.wav
negative,G8f3XmmcaXb2ZZ2ov4Z5r2vOLaK2_heavy_3.wav
negative,G8f3XmmcaXb2ZZ2ov4Z5r2vOLaK2_shallow_2.wav
negative,gFfiG6fg9dgWt96aPPuIdtFAYc53_shallow_2.wav
negative,Gs2gwBq34aMMglNC9jqGHS3ZzIs1_heavy_2.wav
negative,Gs2gwBq34aMMglNC9jqGHS3ZzIs1_shallow_1.wav
negative,Gs2gwBq34aMMglNC9jqGHS3ZzIs1_shallow_3.wav
negative,GuL97vIwJgQudwa7mdoEh33JZnr1_heavy_1.wav
negative,GuL97vIwJgQudwa7mdoEh33JZnr1_heavy_2.wav
negative,GuL97vIwJgQudwa7mdoEh33JZnr1_shallow_1.wav
negative,GuL97vIwJgQudwa7mdoEh33JZnr1_shallow_5.wav
negative,GuL97vIwJgQudwa7mdoEh33JZnr1_shallow_8.wav
negative,H3sxaOqiOSgbKWig7NdWEPgrm6f2_heavy_3.wav
negative,H3sxaOqiOSgbKWig7NdWEPgrm6f2_heavy_6.wav
negative,H3sxaOqiOSgbKWig7NdWEPgrm6f2_heavy_7.wav
negative,H3sxaOqiOSgbKWig7NdWEPgrm6f2_heavy_8.wav
negative,H3sxaOqiOSgbKWig7NdWEPgrm6f2_heavy_9.wav
negative,H3sxaOqiOSgbKWig7NdWEPgrm6f2_shallow_1.wav
negative,H3sxaOqiOSgbKWig7NdWEPgrm6f2_shallow_6.wav
negative,H3sxaOqiOSgbKWig7NdWEPgrm6f2_shallow_7.wav
negative,H3sxaOqiOSgbKWig7NdWEPgrm6f2_shallow_9.wav
negative,HaeKJrHeBqgwClDs0LHG7oT6fHs1_heavy_2.wav
negative,HaeKJrHeBqgwClDs0LHG7oT6fHs1_shallow_1.wav
negative,HN3yAvicf4RTVGb6l0PjM41iBAn2_heavy_1.wav
negative,HN3yAvicf4RTVGb6l0PjM41iBAn2_heavy_3.wav
negative,HN3yAvicf4RTVGb6l0PjM41iBAn2_shallow_3.wav
negative,HqILRgOnPoYTBOwV923xNysDhA82_heavy_3.wav
negative,HqILRgOnPoYTBOwV923xNysDhA82_shallow_3.wav
negative,IA47R6m1qMbEqlv31Gf5sjN91cA2_heavy_2.wav
negative,IA47R6m1qMbEqlv31Gf5sjN91cA2_shallow_1.wav
negative,IA47R6m1qMbEqlv31Gf5sjN91cA2_shallow_3.wav
negative,Id2BHKfccpS2K8eOtrXRKjBAsds1_shallow_3.wav
negative,Id2BHKfccpS2K8eOtrXRKjBAsds1_shallow_4.wav
negative,iECdjKjowNVh89DwO6HqoRnaDtY2_heavy_1.wav
negative,iECdjKjowNVh89DwO6HqoRnaDtY2_heavy_4.wav
negative,IG629UPMI0SQe0tpOKcTKCnQYr82_heavy_1.wav
negative,IkwAlxsvmhXfpi9seBDU6rksY7C2_heavy_2.wav
negative,IkwAlxsvmhXfpi9seBDU6rksY7C2_shallow_1.wav
negative,IQSMEGOrc3XegUpIARWm07D2K2a2_heavy_1.wav
negative,IQSMEGOrc3XegUpIARWm07D2K2a2_shallow_3.wav
negative,IQSMEGOrc3XegUpIARWm07D2K2a2_shallow_4.wav
negative,iu13CF47sRTOnPlhkzTszNkqAZ83_heavy_1.wav
negative,j9H4jHAjVPbnLqoO83jZVAtZ5ep2_shallow_1.wav
negative,jaRfWYxsWjV2L833wIIyuivEWFG3_shallow_2.wav
negative,JcXAvo6g3GYZOJe6VnzkeqH0OmS2_heavy_2.wav
negative,JcXAvo6g3GYZOJe6VnzkeqH0OmS2_heavy_3.wav
negative,JcXAvo6g3GYZOJe6VnzkeqH0OmS2_shallow_1.wav
negative,JcXAvo6g3GYZOJe6VnzkeqH0OmS2_shallow_3.wav
negative,JQyIFoDDO1fwOuEH0GaOFskQ90q1_shallow_1.wav
negative,JQyIFoDDO1fwOuEH0GaOFskQ90q1_shallow_3.wav
negative,JxSb6sEnk0RC9NPyET9sCpJ3OqN2_shallow_1.wav
negative,k0uQAYNhiUZvHePzPoWE9wUfBNk2_heavy_1.wav
negative,k0uQAYNhiUZvHePzPoWE9wUfBNk2_heavy_2.wav
negative,k0uQAYNhiUZvHePzPoWE9wUfBNk2_shallow_1.wav
negative,k73r7MJLJyav5AF6DJS6LFQnvn82_heavy_1.wav
